Question,Answer
CAN I DO A STUDY EXCHANGE AT THE UNIVERSITY OF VALLADOLID?,"You should find out whether there is an exchange agreement between our universities. To do this, you should contact <a href=""mailto:incoming@uva.es"">incoming@uva.es</a>
If there is no agreement between our universities, you can always come as a <a href=""http://relint.uva.es/internacional/english/students/visitors-programme/"">Visiting student</a>.

"
WHICH COURSES CAN I TAKE AT THE UNIVERSITY OF VALLADOLID?,"You can choose the courses you like from any academic course or academic year. You can also even take courses from various curricula and from different faculties at the same time. However, you must make sure that your coordinating teacher accepts your choices when signing your studies contract or Learning Agreement.
Whatever you opt to do, you should take at least one course from the University of Valladolid faculty you have chosen.

"
CAN I CHOOSE COURSES FROM ANY TERM OR SEMESTER?,"No, you can only choose courses taught during the time you are at our university.
If you are here between September and February, you can choose courses taught in the first term or semester.
If you are here between February and June, you can choose courses taught in the second term or semester.
If you are here from September to June, you can choose any course, including full-year courses.

"
CAN I CHOOSE FULL-YEAR COURSES IF I STUDY AT THE UVA FOR A TERM OR A SEMESTER?,"No. Full-year courses are taught continuously from September until June. You are not allowed to take them if you are only going to be here during the first or second semester.

"
CAN I CHOOSE COURSES FROM VARIOUS FACULTIES AT THE SAME TIME?,"Yes, provided that your coordinating teacher agrees to this when signing your studies contract or Learning Agreement. However, you must always take at least one course from the University of Valladolid faculty you have chosen.

"
CAN I TAKE COURSES AT VARIOUS CAMPUSES AT THE SAME TIME?,"You may only choose courses from the Valladolid and Palencia campuses at the same time, provided that your coordinating teacher agrees to this when signing your studies contract or Learning Agreement. All of the other combinations of campuses are over 100 kilometres away from each other.

"
I AM A MASTER’S DEGREE STUDENT. CAN I TAKE BACHELOR’S DEGREE COURSES?,"Yes, provided that your coordinating teacher agrees to this when signing your studies contract or Learning Agreement.

"
WHERE CAN I SEE THE UVA CURRICULA?,"You can see the various bachelor's degree curricula <a href=""http://www.uva.es/export/sites/uva/2.docencia/2.01.grados/2.01.02.ofertaformativagrados/2.01.02.01.alfabetica/index.html"" rel=""noopener"" target=""_blank"">here</a>, and the master's degree curricula <a href=""http://www.uva.es/export/sites/uva/2.docencia/2.02.mastersoficiales/2.02.01.ofertaeducativa/2.02.01.01.alfabetica/index.html"" rel=""noopener"" target=""_blank"">here</a>. Choose the curriculum you are interested in, and then click on ""Asignaturas"" (courses) to see the courses. 

"
WHERE CAN I FIND THE TIMETABLE AND CLASSROOMS FOR MY COURSES?,"Each University of Valladolid faculty has its own webpage where the calendars, timetables and classrooms for the courses are published. You can find the link to your centre’s web <a href=""http://www.uva.es/export/sites/uva/2.docencia/2.01.grados/2.01.02.ofertaformativagrados/2.01.02.01.alfabetica/index.html"" rel=""noopener"" target=""_blank"">here</a>.
Choose the curriculum you are interested in, and then click on ""Horarios"" (timetables) to see the times and rooms for your courses.

"
"IN SOME COURSES IT MENTIONS GROUPS SUCH AS 1 T, 2 A, 1 S. WHAT DOES THIS MEAN? CAN I CHOOSE THE GROUP I WANT?","Some courses are divided into groups because not all of the students can fit into the classroom at the same time. Some courses may have more than one group for the lectures, some for practical lessons, and others for both lectures and practical lessons.
Exchange students can choose whichever groups suit them best. In other words, they can choose group 1 for the lectures in one course, and group 2 for another, etc. However, once a student has chosen a particular group for a course, they should always go to the same group for that course.

"
WHAT IS THE MINIMUM NUMBER AND THE MAXIMUM NUMBER OF CREDITS I CAN TAKE?,"You can take a maximum of 30 ECTS (European Credit Transfer and Accumulation System).
We do not set a minimum number of credits. If you need to choose a minimum number of credits you must notify your university.

"
WHEN SHOULD I SEND MY LEARNING AGREEMENT OR STUDIES PROGRAMME?,"You only need to send it to us if we ask you for it. If we don’t ask you for it, it is because we don’t need it yet. Generally speaking, Erasmus+ students can fill in their Learning Agreement and obtain their coordinating teacher’s signature after they get to the University of Valladolid.

"
I NEED TO SIGN MY LEARNING AGREEMENT. WHO DO I SEND IT TO?,"You should send it directly to your coordinating teacher at the University of Valladolid.

"
MY COORDINATING TEACHER ISN’T ANSWERING MY EMAILS. WHO CAN HELP ME?,"If you have any questions related to academic matters or if you need your Learning Agreement signed, you can contact your faculty’s International Relations Coordinator at the University of Valladolid.
For any other kinds of question, contact <a href=""mailto:incoming@uva.es"">incoming@uva.es</a>

"
I WANT TO DO A FULL BACHELOR’S/MASTER’S/DOCTORAL DEGREE AT THE UNIVERSITY OF VALLADOLID. WHERE CAN I GET INFORMATION?,"You can find information on the general website <a href=""http://www.uva.es/"" rel=""noopener"" target=""_blank"">http://www.uva.es/</a>. The enrolment procedure is the same for Spanish students as for students of other nationalities. If you have any doubts, you should contact the <a href=""http://directorio.uva.es/detalle.html?id=4001004"" rel=""noopener"" target=""_blank"">Seccion de Alumnos</a>.

"
WHAT LANGUAGE OF INSTRUCTION IS USED AT THE UNIVERSITY OF VALLADOLID?,"Approximately 90% of the lessons are in Spanish. A few courses are also in English, and there are courses in other languages as foreign languages.

"
